account_id,connector_id,location_key,location_name,location_number,location_chain,location_district,location_region,location_type,location_address,location_city,location_state,location_zip,location_country,location_latitude,location_longitude,location_manager,location_phone,location_status,ingestion_timestamp
ACC001,grocery_connector,LOC001,Fresh Market Central,2001,Fresh Markets,North District,Western Region,Supermarket,456 Central Avenue,Portland,OR,97205,USA,45.5152,-122.6784,Emily Johnson,(503) 555-1001,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC002,Organic Corner,2002,Natural Foods,South District,Western Region,Health Food,789 Green Street,Eugene,OR,97401,USA,44.0521,-123.0868,Michael Chen,(541) 555-1002,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC003,Valley Fresh,2003,Fresh Markets,Central District,Western Region,Supermarket,321 Valley Road,Salem,OR,97301,USA,44.9429,-123.0351,Sarah Martinez,(503) 555-1003,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC004,Coastal Foods,2004,Coastal Markets,West District,Western Region,Specialty,654 Ocean Drive,Newport,OR,97365,USA,44.6365,-124.0533,David Wilson,(541) 555-1004,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC005,Mountain View Market,2005,Fresh Markets,East District,Western Region,Supermarket,987 Mountain View Blvd,Bend,OR,97701,USA,44.0582,-121.3153,Lisa Garcia,(541) 555-1005,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC006,River City Grocery,2006,River Markets,North District,Western Region,Supermarket,147 River Street,Medford,OR,97501,USA,42.3265,-122.8756,Robert Taylor,(541) 555-1006,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC007,Pine Grove Foods,2007,Natural Foods,South District,Western Region,Organic,258 Pine Grove Lane,Corvallis,OR,97330,USA,44.5646,-123.2620,Jennifer Brown,(541) 555-1007,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC008,Desert Market,2008,Desert Foods,East District,Western Region,Convenience,369 Desert Road,Klamath Falls,OR,97601,USA,42.2249,-121.7817,Carlos Rodriguez,(541) 555-1008,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC009,Seaside Grocery,2009,Coastal Markets,West District,Western Region,Specialty,741 Seaside Blvd,Astoria,OR,97103,USA,46.1879,-123.8313,Amanda Lee,(503) 555-1009,active,2024-01-15 08:00:00
ACC001,grocery_connector,LOC010,Heritage Foods,2010,Heritage Markets,Central District,Western Region,Supermarket,852 Heritage Ave,Gresham,OR,97030,USA,45.4998,-122.4318,Thomas Davis,(503) 555-1010,active,2024-01-15 08:00:00 